item_id,domain,nn_mod,nn_asp,query_mod,query_asp,q_review_id,q_reviews_id,question,question_subj_level,ques_subj_score,is_ques_subjective,review_id,review,human_ans_spans,human_ans_indices,answer_subj_level,ans_subj_score,is_ans_subjective
B006ZS5ATM,electronics,sore,ear,uncomfortable,headphone,adb20314dbbd8196b7e9fb587b78147f,6e1052529424f3a98d303380155c9dde,What do you think about headphone?,5,0.0,False,197e760a49907baeff809b2ccdfe466f,"I had a smaller headset that went on the ear. After a 8 - 10 hour workday, my ears were throbbing red and painfully sore. With this headset, I can go the same shift and not feel any pain on my ear. They may feel a little on the heavy side, but if you adjust the head phone cups just right and stretch them, you will not have any problems.Quality and sound, words cannot explain. Its so clear and loud, the headset holds in the sound. When I am on a call or listening to music, I do not hear nothing else, but what's coming in through the headset. ANSWERNOTFOUND",ANSWERNOTFOUND,"(547, 561)",5,0.0,False
B0074BW614,electronics,perfect,size,single,complaint,991b7bc677086cc5ad62c997a35873ec,dc3a5caea480bb9e6f2af3fb84f7f2ac,What are complaint of these guys?,1,0.2,False,0e61b7c301c4881e6c53ebd9f678e84f,I really am enjoying my Kindle Fire HD. It does so many things. You can find plenty of free apps at Amazon.com. My favorite feature is watching movies on it. Splurged and joined Netflix. My husband and I have always disagreed on television programs. This way I can also enjoy my evening of relaxing. Also able to download plenty of free books and can lend books also. So far this product has exceeded my expectations. Would highly reccomend this. The size is perfect to carry with you. Tech support is A plus. Resolved my issue immediately. ANSWERNOTFOUND,ANSWERNOTFOUND,"(541, 555)",5,0.0,False
B001ELJER4,electronics,great,feature,several,feature,2a47f58ba5c0e3a9e7eade75d7db125d,eb8f94f30b27bec871c9256b4f9bccc2,How is the feature?,1,0.0,False,905de243991becdba0c365b595855452,"Big complaint:  Garmin needs to trim the product line and concentrate on selling no more than 5 models at a time. It should discontinue the old models as soon as the new models come out.  And the model numbers are extremely confusing.  A model named 780 may actually be an older model and has fewer features than a 765T.  Many of those models differ by just a couple of features.The first unit I bought had a volume problem.  The sound occasionally went to inaudible levels on its own even when the volume was set to maximum (100%).  Then after a trip it would go back up to normal levels again.  Amazon exchanged that defective unit.The traffic rerouting feature really works.  On a stretch of freeway with highway construction, the routing function intelligently bypassed that section of the freeway using detours.  I love that feature.  I assume the feature is only as good as the accuracy of information relayed to the center that keeps track of traffic information.The lane assist feature has two modes: the photo-realistic mode and the highlighted lanes mode in the upper left corner of the screen.  The photo mode only works at a few major freeway interchanges in major metro areas, while the highlighted lanes mode works at a lot more places.  There is no need to press any button to activate either mode.  The photo-realistic screen just pops up for a few seconds on its own at the right moment.  Then it goes back to normal screen showing the highlighted lanes in the upper right corner of the screen when the critical moment is past.The FM broadcast feature works well. It broadcasts directions over the car radio, but I have to set the radio volume high to get decent volume.One big gripe, the turn announcements sometimes come too late, almost at the last minute.  Most of the long distance turn announcements come in three stages.  Example:  after you just finished a turn, it will immediately say, ""Drive 6 miles then turn right on Broadway"".  The second stage announcement is at either 0.1 miles or 0.2 miles: ""In 0.1 miles turn right on Broadway.""  Sometimes the secondary stage will say: ""In 0.2 miles turn right on Broadway.""  The third and last stage is at about 10 feet before the turn:  ""Turn right on Broadway.""  The problem is that the second stage warning at 0.1 mile before the turn is essentially a last minute announcement that is frequently only useful if you're already in the correct lane because 0.1 mile is about a half block length before the turn.  If you had kept on driving for most of the 6 miles in the wrong lane, you'd likely have forgotten that you should be on the right lane to get ready for the right turn.  Having only 0.1 miles of warning to change lane is sometimes very hard to do in busy city driving.Another major flaw is the unit gets very hot on hot summer days when it's plugged in and placed on the dashboard.  I use the bean bag mount on the dash and the unit gets very hot under the sun even when I am driving with the windows down.  The sun's rays heat it up, along with the fact that the electronics inside heats up on its own when plugged in.  The high temp is very bad for the longevity of the unit.  I may have to either build a sun shield or put white tape on the back of the unit to reflect sun light to keep it cool.  I would not be surprised if the some of the reports of premature malfunction mentioned by other reviewers and of the volume problem I mentioned earlier were due to heat damage.The ""Where Am I"" feature is great, particularly if you're almost out of gas and need the GPS to lead you to the nearest gas station fast.  It also shows the nearest police station and hospital.  It also tells you the nearest intersection and nearest street address, useful if your car breaks down in unfamiliar places and you need to call for emergency service.The MP3 player has about 2GB of free storage space. It can put out the sound in one of three modes:  internal speaker, earphone jack, or over the radio using the FM signal.  I didn't appreciate how nice it was having the MP3 feature until I realized that it's integrated with the GPS function, something that would not be true with your car radio. With GPS units that don't have MP3, one usually can't play music on the radio when the GPS is in operation(at least not loudly) because the radio would drown out the direction announcements from the GPS.  With the built-in MP3 on the 765T, I can play a whole album of MP3 songs while the unit operates in the GPS mode.  The driving directions announcements will override the music, so when it announces directions, the music stops temporarily and will resume once the direction announcements are over.  Very nice!Overall I love this unit.  Is it worth the premium over a 255W or 265T?  That depends on how much you value the lane assist and traffic info features and the MP3 feature.  I don't have Bluetooth devices and so can't comment on it. The lifetime (i.e. for the life of the unit, not of the buyer) Navteq traffic info subscription is worth $50 + the traffic antenna about $35.  So mostly the price difference between the 255/265 and the 765 is for the traffic feature, plus the MP3, bluetooth, lane assist, etc.  Are they worth the $100-$120 price difference?  I would tend to say so. ANSWERNOTFOUND",ANSWERNOTFOUND,"(5262, 5276)",1,0.0,False
B00GP4BVTO,electronics,versatile,case,slim,profile,12264045ff398038d51f77c33433f4a9,eb0426464208a41782c22caa0df306ae,How about profile?,2,0.0,False,aafbb171c3904c5d6e6fcd3542b5d8fa,"From the elegant box to the soft rubber like finish and everything in between there is little lacking on this case. The set up with the iPad opposite to the keyboard and with the 360 degree rotation is nothing short of brilliant. Landscape or portrait, choose your angle or flip the top over for tablet use, no other case is so versatile.This case is light and sturdy. All the edges are smooth and clean. The iPad fits perfectly and securely inside the cover. All the access points fit perfectly along the edge of the iPad.The keyboard is of great quality. Easy bluetooth connection. Long lasting battery charge. The chiclet type keys are firm but sensitive and sized for the slim or fat fingers alike. The screen closes firmly with a clic.The screen support is light but strong and allows the screen to sit at different angles while it rests close against the keyboard.The right case for light and medium duty. Pull it out of your bag, briefcase or back pack and people will notice and ask questions. This has been my experience.No iPad case is perfect but this one is the close runner-up. ANSWERNOTFOUND",ANSWERNOTFOUND,"(1091, 1105)",2,0.0,False
B001TH7T2U,electronics,digital,signal,perfect,image,81fa6a0ab1005f15b91e06c460f79c67,a5957740dca399a016a9585676aee4f5,Do you have good image quality?,1,0.6000000000000001,True,86eb84edc027f7230a02b8858e795da1,"AmazonBasics are a fantastic value for quality of cable you get.  No need to spend any more money on a &#34;high quality&#34; name brand cable for even the most demanding AV equipment.  AmazonBasics will perform just the same, as they must meet the same specifications and the signal is digital.  A digital signal, is simply there, or not.I've purchased a few of the AmazonBasics optical interconnects, HDMI's and now this HDMI to DVI.  All great!  I highly the digital cables. ANSWERNOTFOUND",ANSWERNOTFOUND,"(478, 492)",5,0.0,False
B002B4P788,electronics,substantial,feel,similar,design,bd9c608d16bb59bd8b7d4a0409d6861c,cdf921418371bc4578a4555110ea5799,How is the similarity of the design?,1,0.0,False,5eea327daa61fd046658e156dd7bf219,"An excellent addition to any desktop PC - escpecially one that is on a desktop cluttered with cables.  This wireless keyboard cleans up a 'cable-busy' workspace.This keyboard & mouse set is an easy install - all the needed drivers come with in the box.  They have a substantial feel, and are very comfortable.  I cannot yet comment on battery life, since I haven't been using it long enough yet.  Programmable keys are easy to configure and will give you excellent shortcuts to often run programs.  The mouse fits easily in the hand, and feels quite natural.This is a great alternative to some more expensive cordless keyboards. ANSWERNOTFOUND",ANSWERNOTFOUND,"(629, 643)",1,0.0,False
B002HWRJBM,electronics,great,use,hard,button,903a67610b4832b5357df39eee8e6bcc,d908a9650db709a74b8cd7080cfe8fe3,How is the button?,5,0.0,False,b2b8ca02ef170c0d02ac704d178ce7f0,"Loved the mouse to start. Very comfortable grip. Wireless reception and use was great. The Darkfield laser is perfect for hard to use surfaces for most mice. I train people for a living, and often find myself in very dusty environments all the way to glass table board room environments. This mouse has worked well on all of them.I have owned 3 of these mice. I liked the first one I bought so much, I bought one for use at work as well. The battery life held up well, even on the road through heavy use.I Bought the first unit for work, when the left mouse button died, at a year, I bought another assuming it was a fluke. When the second mouse's (my home mouse) left button died at a year as well, I scrapped the mice and decided to move to mice that could handle heavy click use. Granted the programs I use involve A LOT of clicking, then add some gaming into the mix and well... the mice just didn't hold up.For the price / performance ratio, I opted to go back to using true gaming mice. Given the beating I give them, they simply hold up better. If you are in an office environment, or a light to medium use scenario, it's a great mouse. ANSWERNOTFOUND",ANSWERNOTFOUND,"(1144, 1158)",5,0.0,False
B00BGGDVOO,electronics,easy to use,menu,not intuitive,control,1981307212d998fe91d8ce015382f486,5e67a2e2da05528c78797cc5224ae330,Why do I have intuitive control?,2,0.0,False,65e78449031a37bb34e4225ace52366c,"We bought the Roku for the bedroom as part of our cable cutting efforts.  So far we love it.  The menus are simple and easy to use.  Setup was a breeze.  It found the wireless without a problem and we never lose connection or lag or freeze up.  We have had a lttle trouble with Netflix on it, but it seems to be a Netflix thing since all the other channels like Amazon worked fine.  I would love to see more of the primetime channels like ABC and NBC have their own channels, but that is not a device concern.  Got Hulu+ and there's not much TV we will miss at all.  One of the best features for cable cutters is that the Roku Search works accross all your channels.  So you type in the show or movie and it tells you every instance accross all your channels.  Then you pick which one to watch it from.  I even use the iPhone app for Roku to control the device.  It is responsive and it is good to know that if we lose the included remote, we have a backup.  Also, the app allows you to type search items rather than hunt and peck with the arrow buttons of the remote. ANSWERNOTFOUND",ANSWERNOTFOUND,"(1069, 1083)",2,0.0,False
B007WTAJTO,electronics,good,price,other,brand,2f22c666151aa92fe544b735acd1776d,fc8ef9fed9a401fa49b70717a5a9a2bb,When i have other brands?,1,0.375,False,b588d6fa51d6cddb856e286c3d2b503f,"When your item arrives on time, in perfect condition and the price is good, what more can you say? This works great and no troubles. ANSWERNOTFOUND",ANSWERNOTFOUND,"(133, 147)",1,0.0,False
B002MAPRYU,electronics,defective,one,easy to use,product,4c5df9bea9e775e1164e7c35684316ae,4ce9bbba38456a869e9eeab6d8e5e32a,Is it product ?,5,0.0,False,2ab712f44ab22921f00ac4a26751c512,"I've owned an iriver, a sony, and and ipod.  I kept looking for something else.  I read the reviews about the clip plus but I just could not believe the hype. This tiny thing could not be better than the players I paid triple for --could it?  If you are looking for a strictly for an MP3 player that is easy to use and sounds great this is a good buy. First off it's tiny.  You can clip it on your lapel, jacket or put it in your pocket. It is very easy to use. No messing with software or bloated programs. I plugged it in to the USB port and that was it.  I guess it could have a longer battery life but that doesn't bother me much as it charges quickly.  The sound quality is really good for such a tiny device.  I spent time and money trying to make my ipod sound better (upgraded earphones etc.) The clip sounded good right out of the box. It synced quickly even from my old computer. Overall, I can see why people love this MP3 player.My only complaint was that the first one I received was defective. I don't know if it got damaged during transit. It was sluggish and had low battery life.  I returned it and based my review on the second one I received. ANSWERNOTFOUND",ANSWERNOTFOUND,"(1162, 1176)",5,0.0,False
