item_id,domain,nn_mod,nn_asp,query_mod,query_asp,q_review_id,q_reviews_id,question,question_subj_level,ques_subj_score,is_ques_subjective,review_id,review,human_ans_spans,human_ans_indices,answer_subj_level,ans_subj_score,is_ans_subjective
B0081Q1KJU,grocery,fluffy,kernel,large,kernel,989571a8a09f5f2a97b17b0232210db0,112e17b882f2059a831cba468d2bf21a,What is the size of the kernel?,1,0.0,False,0e0f517ad7fc82c2e554a28259186bd4,"These convenient, single-serve bags of popcorn go well in a lunch box or in a movie theater, and they're ready to grab and go. No popping and no waiting. They're priced at about 50 cents per bag, a lot cheaper than what cinemas charge for big containers that hold far more than most people want or need to eat.The taste is deliciously light and mild, without too much salt or cheese flavor. The pre-popped kernels are large and fluffy, but they're not crunchy, so if that's the texture you're looking for, you'll have to try another product. The coating is powdery, which I find preferable to an oily or greasy coating.I myself would have liked each serving to be a bit larger, but then I'm a big popcorn lover. I suppose I'll just have to take two bags along with me. ANSWERNOTFOUND",The pre - popped kernels are large and fluffy,"(391, 434)",1,0.4142857142857143,False
B005ZBZLT4,grocery,weak,coffee,stale,coffee,44f581e5e9662391844f79bfe90bdb6e,f9f38b59ca5ac9dbea3fdfea0d3232a8,How is the coffee?,1,0.0,False,418bc77fbecd7422d43641368e5136fb,"5:45 a.m. The alarm just went off. You want to be on the road before 7. You find the kitchen, get out the kettle and start the water boiling. Get out the Boodum, fill it up. Wait. Water boils. Pour it in the press. Wait.  Wait more. Can't wait any longer. Push plunger, drink, coffee is weak, pillow starts calling your name, you lose the will to shower, next thing you know, it's 8:15 and you're praying for the grid to melt down.OR, you get up at 5:45 a.m., drop a K-Cup in your Keurig, push a button and your cup runneth over (especially if you accidentally pushed the button with the picture of the mug on it).  And if it's San Francisco Bay Fog Cutter, you also get a deliciously rich, full-bodied, fragrant brew that is acid free and gentle on an early morning tummy.  Best of all, you can drink your Fog Cutter while waiting for the stuff in the Boodum Coffee Press to be ready. Now you can face the shower, the hair dryer, the curling iron and the eyelash curler without fear.I prefer the Boodum to the Keurig, but when you need coffee now, this blend can't be beat.  It's the best of all the K-Cup offerings that I've tried, and I've tried everything from Donut Shop to Newman's Own and most points in between.  It is my early morning wake up favorite.I was very amused, not to say impressed, by one reviewers comments about the packaging  He notes that there is a drawing of a K-Cup type machine on the front of the box and a list of various K-Cup brewers that will accommodate this version of the K-Cup.  He points out that the San Francisco Bay Coffee supports many environmental projects, as noted on the top of the box, which also shows photos of these worthy projects.  The Rodgers Family, who own the company, are shown in a family photo on one side flap, along with an essay on the company's values.  The other flap has a description of the actual coffee.  This guy is a whiz in the a.m.  I'm happy if I find the sink on the first try.Anyway, this is the best pre-coffee coffee I've ever had. And it's an excellent main course coffee too.Enjoy. ANSWERNOTFOUND",coffee is weak,"(277, 291)",1,0.625,True
B00AQIT90S,grocery,amazing,taste,small,portion size,c3638ed68d8e0b2dd8a7ae1edfd82f9b,cef28e12ab8277afad58c7f79c14c593,How is the portion size?,2,0.0,False,303c85f9770676323f412a67d7cfa2e9,"The South Beach Diet Gluten Free Dark Chocolate Raspberry Bars are great tasting and good for you. Pack with hunger curing protein, and powerful nutrients, it will power through your mid-day snack attack like a pro. They are gluten free and dark chocolate, so the taste is amazing!! Good job! ANSWERNOTFOUND",ANSWERNOTFOUND,"(293, 307)",2,0.0,False
B001FA1SSM,grocery,hard,flake,thick,flake,7ea729e233a2d6bffc61efd5822d9b47,47752ef99d90fc73aae625b1c12a14c7,How would you rate the flakiness of the flakes?,1,0.0,False,f591690a1b9c27fbee23831ddf0ce41b,"Back To Nature Summer Berry Blend Cereal comes in recycled, but attractive, packaging.  The see-through window allows you to see the contents.  The cereal seems to have the right amount of sweetness, but the flakes are too hard.  The freeze-dried fruit, what there is of it, is of a good size, delicious, tasty, and tart.  Strawberries are the most prevalent.  The taste is a bit unusual, but for organic cereal, it is OK.  Additional amounts of fruit and softer flakes would make this cereal more appealing. ANSWERNOTFOUND",ANSWERNOTFOUND,"(509, 523)",1,0.0,False
B005IW4WEA,grocery,healthy,snack,high,protein,7e443f25e86182c5f2efab0362c3b689,91c66ddc3781260d8e67f7f91267fcb5,Where can I buy protein?,5,0.0,False,febc23052683e2eccff1f66155cef9b3,"This is my first experience with any sort of healthy grain snack. I have to say, I've become a fan. I find it difficult to enjoy healthier options because I do have such a sweet tooth but with the vanilla and the blueberry mixed in with these grains I don't miss the sugar. Plus, it helps to know that this snack is very healthy, not to mention quite tasty. When I think of healthy I don't usually think it will taste good as well.I've actually been looking for ways to add some sort of Omega-3 into my diet but it's been difficult because I don't like fish. This snack is full of flax seed which is full of the heart healthy Omega-3.When I first received the bag I thought, this reminds me of cereal. While reading the back label it actually say's you can add milk and have it just that way. I've yet to do that because I brought this product into work to have as a breakfast filler. It works perfectly for that as helps control your appetite. It fills me up and I feel good knowing it's a healthier option than what I'd usually go for.For me I'm so happy I found this product. Its low in sugar, full of Omega-3, and is made with 100% whole grains. They suggest trying this on top of yogurt or with milk. Both seem like delicious ideas that I can't wait to try.I am pleasantly surprised I like this. I'll definitely be getting it again. ANSWERNOTFOUND",ANSWERNOTFOUND,"(1338, 1352)",5,0.0,False
B000FEH8ME,grocery,natural,product,delicious,combination,819140e757add5a2aa618db24840e5ea,e7d667aa7c32e49c1159db711d035801,How about combination?,2,0.0,False,75c943f2ca89a7b597a135bd610604dc,"I tried the wild blueberry organic pure bar.  It was okay.  The smell was overwhelmingly blueberry - almost synthetic smelling - but I checked and the product is all natural and all organic.  Our household is a Lara Bar household so it was interesting to compare this to our normal fare.  The PURE bar is very greasy, which I thought was kind of weird.  The taste was okay.  Not great.  There were nice chunks of nuts, much bigger than you would find in a Lara bar.  I definitely won't change brands, but it is nice to know that there are other options out there if you find yourself in a place that doesn't carry the Lara Bar.  You do have to know that these types of bars have plenty of fat, nuts and thus calories in them, a bit under 2 ounces and a bit under 200 calories.  They are much denser than your regular run-of-the-mill granola or fiber bar and they are definitely ""healthy"" tasting.  All in all, just okay.  I'm sticking with Lara Bars. ANSWERNOTFOUND",ANSWERNOTFOUND,"(951, 965)",2,0.0,False
B0049D9H4Y,grocery,good,oil,high,smoke point,c0d262c92ff1b19d33593615963dcea6,bf5db337581fcbe44253cdc4ba142188,How about smoke point?,4,0.0,False,5b01e84c3b8236341dead9e8fea60aa3,"This oil is good in so many ways.This is my favorite oil for all uses, deep frying, pan sauteing, and straight out of the bottle.I also use this to make 'ozonated' oil, and it is now my favorite oil to use for this purpose, in fact I like this oil even better than olive oil for making 'ozonated' oil. ANSWERNOTFOUND",ANSWERNOTFOUND,"(302, 316)",4,0.0,False
B00DS842HS,grocery,mild,taste,smooth,consistency,c17f476d988889b19015396b85d8429d,6bcbdf8c09e38b431c7d7158c9c67f0f,How does consistency feel?,5,0.0,False,26be6e19b4c4e5645687f16e7d9b8060,"Yes....shaving!!I was given the opportunity to test out a full size jar of this stuff.  My initial thoughts were to use it somehow with baking or cooking or even a smoothie, but I just couldn't find the right application.  So instead I thought that I would give it a try as a health care/beauty item.First I tried it as a simple lip balm.  The smell and taste are smooth and mild.  However, given that the melting point for coconut oil is pretty low, this just didn't sit on my lips the way a traditional balm does.  Then I tried it as a shaving cream replacement at the suggestion of other users of coconut oil, and can I say WOW!  I have terribly sensitive, dry, itchy skin on my legs...so much so that I turn into a human version of a sasquatch from about October through May every year just to avoid the feeling shaving in winter gives me.  Traditional shaving cream and a follow up with traditional moisturizer just don't save me from days worth of skin irritation and itch, so for years every fall and winter my legs go in complete hiding.  BUT- this stuff saved me from that!  No days of itching after shaving, no wanting to take a steel wire brush to the backs of my knees from the razor burn sensation.  And it really got an excellent close shave and left my skin super soft for days.Downside- it's messy.  Again, that melting point plays a roll, but it doesn't drip off.  Instead, it will reharden in your tub unless you scour the tub immediately after shaving.  It's also not very easy to scoop out from the jar for this purpose.  However, none of these things take away from getting a great shave that doesn't make you want to peel off your skin for days after! ANSWERNOTFOUND",ANSWERNOTFOUND,"(1674, 1688)",1,0.0,False
B005XVZKGA,grocery,bitter,taste,bitter,aftertaste,24a78f909471fc155e76a160ea51c9d7,60b30157018861ed5dace6f81dc39a00,How is it the aftertaste?,1,0.0,False,9ebb9d3be4ff66d7677e1a074daac404,"I thought this was an unusual concept but thought what the heck and tried it.  I took it on a hike where a caffeine boost might be helpful.First off, the taste of the water is very bitter because of the caffeine. (Therefore, I would recommend drinking it cold as this tends to dull the bitterness.)  Second, I did receive a jolt from it but not a good jolt, my heart started to race for about two minutes.For me I will get my caffeine the natural way at Starbucks! ANSWERNOTFOUND",ANSWERNOTFOUND,"(465, 479)",1,0.0,False
B008I1XLDQ,grocery,wonderful,one,excellent,one,794b27bc63c0710d33d6104ff0f70bc9,7ce53302a0880ee2f9f0355e02f74730,How is the one?,1,0.0,False,58d6abcac719e69f09f437836375ec05,"I love my Keurig and I don't think I could start my day without it. I am always looking for something new and definitely am not one of those &#34;I will only drink brand X!&#34; kind of coffee lovers. So when this became available I decided to give it a shot.It's really great to get a variety of a brand so that you can find out what you like and what you don't. It is always frustrating to buy a box and realize that you really don't like what you bought and are stuck with it (or have to give it away.)Here is what I liked:Maple Sleigh: This one smells wonderful! Think &#34;cabin in Vermont&#34;. It has a subtle, breakfasty maple flavor.Vanilla Skyline: A little light on flavor, but definitely good.Here is what I didn't like:Fuhgeddaboutit: Way too bitter for my taste.Corner Donut Shop: Tastes like a &#34;wannabe&#34; cinnamon blend from another brand.Notable for that that like that type of coffee:French Roast, Breakfast Blend, and Cyclone.Overall: 4 stars. I'd buy this brand again, but I'd buy specific types. ANSWERNOTFOUND",ANSWERNOTFOUND,"(1023, 1037)",1,0.0,False
