item_id,domain,nn_mod,nn_asp,query_mod,query_asp,q_review_id,q_reviews_id,question,question_subj_level,ques_subj_score,is_ques_subjective,review_id,review,human_ans_spans,human_ans_indices,answer_subj_level,ans_subj_score,is_ans_subjective
Yl2TN9c23ZGLUBSD9ks5Uw,restaurants,nice,spice,prompt and,service,4708c6ce3e19299a13f86056034776c7,dbab559e2405315dbefe8239a8572f9b,How was the service staff?,2,0.0,False,Gxv50IU_dSrLbRRULya2_g,"Came here on a Tuesday evening with a party of 4. The place was decently packed around 1900 and was full by 2100. The place has a nice decor and is quite comfortable. Had the Salmon Tartare, Achrauli and Crispy Eggplant for appetizers. The salmon and Achrauli were really nice and the spices really enhanced the flavour. The eggplant was deep fried and had mashed eggplant in it. It was ok, nothing special. For main course we had the red snapper fish and mejadra rice. Both were delicious. The red snapper was tender and tasteful. One could really taste the spices in the rice and was almost like a light hearted biryani. The crispy qatayeh was a delicious dessert. ANSWERNOTFOUND",ANSWERNOTFOUND,"(667, 681)",2,0.0,False
RtUvSWO_UZ8V3Wpj0n077w,restaurants,quick and friendly,service,quick,staff,1e921f32f9b411b78c95de4605ff29df,654f7b951bc318567dffab9835af3b15,How is staff?,2,0.0,False,nlxA3u9Pe-vnMzNWE7cpSg,"A fun place to go with a few friends.  The waitstaff look mostly Japanese.  The service was quick and friendly.  I went on a Monday around 6pm.  Although there was a line, I got seated immediately by the bar since I was dining alone.The place is very noisy as most of the other reviews indicated.  The menu is surprisingly short for an izakaya (at least from my experience in NYC).My favorite dishes were the kinoko cheese bibimbap and the tori karaage.The kinoko cheese bibimbap was rice served in a sizzling stone pot, mixed with chunky pieces of garlic-sauteed mushrooms, shredded cheese and a super tasty sauce made of seaweed.  It's such a simple but brilliant dish.  Really appetizing and extremely delicious.  The tori karaage was truly succulent and fried to perfection.  They use dark meat chicken and the chunks of chicken were very well marinated.The tontoro (grilled pork cheeks) were at first ordinary but then I tasted them with the tiny smudge of yuzu-flavored wasabi/mustard and it was brought to a whole new level.  Such an interesting combination!The ebi mayo was the biggest disappointment.  Although the shrimp used were fresh, they had too much batter and ended up tasting very ordinary, even with the spicy mayo dressing.For dessert, I tried the almond cream.  That was a great way to end a heavy meal.  It was like almond-flavored jello.  Not that creamy as it claims on the menu.  But good nonetheless.Would definitely come back again. ANSWERNOTFOUND",ANSWERNOTFOUND,"(1460, 1474)",2,0.0,False
N93EYZy9R0sdlEvubu94ig,restaurants,fast,staff,super,fill,a2b6b9687b34d5bc95349f1c50763d40,6e8af1d42d53a1663efd09abaee9adbd,Is the fill delicious?,1,1.0,True,RsOddNe6kh9gWEuLzpJEVQ,"I think the best way to describe this place is rock-star. Absolutely awesome. It's inexpensive, delicious, fast and the staff are friendly and ridiculously efficient. It is my favorite restaurant in Toronto. I wonder if they have a meal plan? If I lived nearby, I probably wouldn't use my kitchen.Not too much seating space inside though, but that's o.k. You will be so ravenous when you get your delicious food you will probably finish it before you get to a table anyway. ANSWERNOTFOUND",ANSWERNOTFOUND,"(474, 488)",1,0.0,False
Pthcdg09sHQ9M9Tj5P9gfQ,restaurants,good,selection,spacious,place,adcc4ecdcaf70d5672dc49a00868d8c0,24eb3378aa326ed87f94dbfdab5ae7a8,Is this place big enough?,1,0.3,False,SKt1bXcA3xwxD0NnpADJUA,"I've been here a few times and seems to be a hip place to be. The restaurant is located down the stairs and underground. It's kind of odd that they don't take reservations but usually you get a seat on walk-ins. They have a decent food menu with a good selection of appetizers and entrees. I mostly ordered appetizers. I ordered the classic poutine and the potatoes skin with dip. I didn't find the potatoes skins dip very appetizing at all and the poutine was just alright. As for drinks, their selection is pretty good as they have many kinds of beers on tap, cask beers, wines, cider and much more to cater to everyone's drinking needs! Overall, a decent place to grab a bite in the St. Lawrence Market area. ANSWERNOTFOUND",ANSWERNOTFOUND,"(712, 726)",1,0.0,False
nqTvE7ivdU23oUWdI01tOA,restaurants,lot,meat,fantastic,price,6df32da5210b178f22796f935b0402ee,e8dadbc863e601c598fda6e470e96574,What is the price?,5,0.0,False,R8jwpBlP7bscKytfy-qicQ,"This restaurant is truly one of those places where you have to remember the saying Don't judge a book by it's cover. Walking down Parliament street we totally missed this restaurant and had to back track to find it. It's actually located in the basement but there were street level signs.Stepping inside it was very under whelming. Without all these positive yelp reviews and my desire to indulge in there famous jerk chicken I may have just turned around and left. The restaurant is really dated with old school wood panelled walls, tiny rickety cafeteria tables, and matching wood panelled banquets with saggy pinstriped cushions.Before I had chance to consult with my hubby of our intentions of staying or leaving our lovely waitress Kim warmly welcomed us and told us to grab a seat anywhere. It was just past 4pm and the restaurant although tiny had about 8 other guests dining. We took a seat against the banquet beside the bar at a corner table. I have to admit the seats were a bit uncomfortable as the wood panelled banquets were awkwardly angled at least they had some sort of cushion and the small table seemed to be at awkward height as well but nothing I couldn't manage. Kim came back and delivered us the menus, informed us of the specials, and brought us a pitcher of ice water with sliced cucumbers inside which was a nice touch. They also have daily specials that change all the time but we both knew what we wanted the jerk chicken dinners. We asked to sub the jasmine rice that it comes with for peas and rice and Kim said no problem. I thought there would be an extra cost to do that but surprisingly there wasn't. Kim asked if we like our jerk chicken spicy or mild and we both wanted spicy. She also explained that they grill the chicken made to order so it may take a while. We were both cool with that as hearing our food was not precooked and being made fresh for us was another bonus.Kim was really nice and chatted with us and keep us posted on the status of meals. What was also nice to see was as guests came in you could see that they were all regulars as she greeted them by name and had there drink orders memorized.When our meal finally arrived I was in heaven. After that first bite of chicken I knew why there were soo many regulars and why it was so raved about. Seriously some the best jerk chicken i've ever had! The chicken itself was soo juicy and tender, seasoning was perfect, nice grill flavour, and the heat was good without being too much. What I also loved about this chicken was it was all boneless chicken, mostly thigh meat, and not saucy so you get that nice dry jerk seasoning through the moist tender meat. The meal also came served with a garden salad and homemade coleslaw. Normally I hate coleslaw but this one was pretty good, not too creamy and it had a nice tangy sweet and sour flavour. The peas and rice were also really good and the hidden gem in this dish was the bit of oxtail gravy over the rice and a little piece of oxtail with bone. The oxtail was also amazing, so tender and flavourful you could tell they really stewed it well. It was such a nice surprise to find it under the chicken but such a tease because it was soo good it made me want more.At the end of our meal we were highly satisfied. The portion was ample with lots meat and we definitely fulfilled our jerk chicken craving. This restaurant is also really affordable I think our meal was $11 each which I thought was a total steal! Fresh, flavourful food and a waitress that's soo warm and welcoming you can totally see why so many people keep coming back here. I will definitely be returning to get my jerk chicken fix and to try the oxtail dinner! ANSWERNOTFOUND",$ 11,"(3420, 3423)",5,0.0,False
9Eghhu_LzEJgDKNgisf3rg,restaurants,nice,pizza,fresh,basil,99e7a134ef2e0d0f2c88f4527b407aca,a6c89d0626f481c70bef8f7147c54586,How is the basil?,1,0.0,False,GVKB7E9JmrCq7rrk5IVX9g,"Sweet baby Jesus... this place was ahhhmazing.Initially, my friends and I came because we heard that they made fresh mozzarella, but it turns out that they have great menu items that are just as great, if not better, than the fresh mozzarella.First off, I love love loveee the atmosphere and the decor. The restaurant was dimly lit with rustic lighting and candles, which were a lovely touch. The tables were wooden, and again, went with that rustic feel. Everything was just amazing. I think I'm doing a horrible job at describing this place and I'm not doing it any justice, so just pay them a visit.Second, and the most important, was the food. I needed to be wheeled out of here when I was done. Here's a rundown of what we ordered:-Fresh Mozzarella with Pingue Prosciutto: the crostinis were really good, as was the fig jam, sea salt, proscuitto and the cheese of course. We also asked for a side of the tomato jam which went well with the cheese. I suggest spreading some fig jam on the crostini, sprinkling some sea salt on it, then topping it off with some cheese. It was sooo good!-Straight up meatball: We just had the classic meatball. I'm not a huge fan of beef or any type of ground up meat, but this meatball was delicious! It was doused in tomato sauce and cheese and sat atop a piece of bread... it was just so good-Bianca Pizza: I thought this pizza was really good... and it was... until about a few slices in. This pizza, in theory, is really yummy- the caramelized onions add a bit of sweetness and the tomatoes, a bit of tang, but the herbs and overkill of parmesan cheese made it just a slight bit too salty for my friends' and I's liking.Sidenote: We let the waitress know when she asked us how we liked the food and she was nice enough to take the pizza off the bill... Grade A customer service.-Chocolate panna cotta: I really wanted to love this, and I did love it for a few bites, until the balsamic flavor became too much to handle. The chocolate of the panna cotta was done well- it wasn't too sweet and it wasn't dull, but the balsamic flavor became very overpowering after a few bites. It added a nice tang in the beginning, but after, that's all you seem to taste.-Tiramisu: delicious... simply delicious. The espresso flavor really came through on this one-Zeppole: Yum! Who doesn't like dough balls and chocolate?-Blood orange and cucumber mojito: mojito done to the next level. It's a regular mojito that tastes so much better than a regular mojito. Sooo good. I will never drink regular mojitos again.Overall, I had an awesome time here. Our waitress was amazing. She gave us tons of suggestions and was very knowledgable about the menu. All of the staff members who came by our table were really nice and friendly- especially the hostess who stood by the door and brought us over to our table. I will, most definitely, be back for another visit. Everything was great! P.S. We were told by our waitress that there is a live DJ on Thurs, Fri, and Sat nights! and $7 cocktails and $5 pints! ANSWERNOTFOUND",ANSWERNOTFOUND,"(3025, 3039)",1,0.0,False
tvYID0arhN-shKGUrC1Wsg,restaurants,delicious,meat,great,meat,bd30ec3860bd0a9569f1607fd0fbf38b,a71bc03a361ae8983e0c940b164d5776,How would you describe the meat of the product?,1,0.0,False,wYQYDZzgfmWeiH9HdD10ww,"HOLY COW!!! Wow - I am still salivating at the memory of my meal here. Now let me start this by saying that I don't particularly enjoy beef - seriously, I just don't. But my friends really wanted me to come here with them because they were sure this would be the place to finally convert me to the pleasures of eating red meat - particularly steak. So I agreed in joining them here for dinner. The hostess showed us to our table and proceeded to explain to us how things work. Basically, there is a salad buffet at the back of the restaurant that has a variety of things like: mashed potatoes, sauteed veggies, fried cassava root, fresh salads, olives, bread, soup, etc,etc,etc..... After you have filled your plate with whatever catches your eye, you proceed to your seat and wait for the very hunky gauchos to bring you unlimited amounts of delicious meat. And you get to check them out while they do this - just make sure your date doesn't catch you (mine did) as this can make things a bit uncomfortable.... Anyway, I tried a large variety of meats including seasoned flank steak, pork loin, Parmesan chicken thighs, fillet Mignon, bacon wrapped fillet Mignon, peppery BBQ ribs, salmon, lamb, steak with cheese, suckling pig, homemade sausages, etc.... so much meat I can't even remember it all. There is a little menu card on the table, and if you see something on there that you'd like to try but haven't, just ask the next gaucho that comes around and they will bring it to you. Oh - and make sure to have the grilled pineapple, not only is it sweet and delicious, but it will aide you in digesting all those massive amounts of meat. Service here was great - all the servers were super friendly and accommodating, and our drinks were refilled continuously. We came on a Friday night, and they have live entertainment. A Brazilian band plus Samba dancers and Capoeira performers. They only have these on weekends, so I guess that's the best time to check this place out. Oh and if you get caught checking out your cute gaucho, fret not. Your date can check out the skimpy dressed Samba dancers and make things even :) Definitely a place worth checking out at least once, but I enjoyed it so much that we are returning in a couple of weeks. I guess I was converted into a full fledged carnivore after all. USEFUL INFO: They will only take reservations for 6 or more people. ANSWERNOTFOUND",delicious meat,"(843, 857)",1,1.0,True
9pWzjhdrPgsZEmF7-QOaIQ,restaurants,love,tacos,best,taco,b4eca036ce5c4565b1c3141bea64d70d,67afff80dd682ea7d43ae5df29b9c1b8,How is the taco?,1,0.0,False,mx_VKQ6qiIaSL0_sxuuYQg,"Honestly, I am not much of a taco person because it usually upsets my stomach.  My cousin kept insisting that if I go to tacos 101. She loves tacos and insists that this place is one of the best taco places in Toronto.   So I did eventually go with her and I tried the fish taco.  It was excellent.  The portion size they gave me was huge so had to take the rest home with me and eat the rest for dinner.  We did actually find a seat which was supposedly rare in a small place like this.  My only thing is I do not like taking food on the go as I enjoy sitting and eating my meal while it is hot and fresh. So if you are trying to find a spot to eat when it is busy it will be difficult.  So have it in mind that it may be a food to go item. ANSWERNOTFOUND",I am not much of a taco person because it usually upsets my stomach,"(10, 77)",1,0.225,False
r_BrIgzYcwo1NAuG9dLbpg,restaurants,tasty,Everything,cozy,environment,9b9f88ec5703b198eb0ae40a91c2cd00,6d642cfc457687a653a037c9975251df,How was the environment?,1,0.0,False,3A93Pq1hLZs25Lu2mYCALg,"Nice place.  It's huge, and you have to go down a big set of stairs, as it's below ground level.  The wait For a table, though, was atrocious.  The host lied to us, and said we'd be seated fairly quickly, but it was 30 minutes later that we finally were led to our table.  That was also a bit weird 'cause we were put in a separate, private room, but seated at one long table with another party.  So, my first impression was not positive, but I felt better after the good came.  Everything was really tasty. Portions were quite large.  I only ate half my portion.  Service was good too. ANSWERNOTFOUND",ANSWERNOTFOUND,"(587, 601)",1,0.0,False
iGEvDk6hsizigmXhDKs2Vg,restaurants,limited,menu,soft,meat,09cd8fb51103797ecbebf66bbaded58a,dfb1177dbd09e60562472984b4af15e7,When did you eat meat?,2,0.0,False,wmvpoOCh0qgq-9lA5T6eIQ,"I came here with my friend today, thinking that one hour before closing would allow us to avoid a crowd. But when we got there, it was full, and only continued getting busier!The menu is very limited, but each taco has its own unique flavor. I really like the Baja fish for the sauce that they use. It is also quite big, and I think it's worth the $6 that they charge for. After two tacos, I feel satisfied but not full. The tacos taste great, but they are definitely quite messy. I don't recommend sharing these tacos with another person, especially considering there's no sink or anything to wash your hands (at least when I went there). ANSWERNOTFOUND",ANSWERNOTFOUND,"(640, 654)",2,0.0,False
