item_id,domain,nn_mod,nn_asp,query_mod,query_asp,q_review_id,q_reviews_id,question,question_subj_level,ques_subj_score,is_ques_subjective,review_id,review,human_ans_spans,human_ans_indices,answer_subj_level,ans_subj_score,is_ans_subjective
usa_san francisco_holiday_inn_san_francisco_fishermans_wharf,tripadvisor,full,parking,convenient,parking,057f8edd840382d23fa6d6b597048525,f3c4b95932d64e225602b0533f2e19e1,How is the parking?,2,0.0,False,tripadvisor_review_12437,"This is a great location. It is an easy walk to Fisherman's Wharf, the cable cars, Ghiardelli Chocolate, and even the Alcatraz Tour, though that was a bit further. Parking was $35 per night, but what can you do. The main lobby was very nice, but we got stuck in the building next door, which I believe is where all the riff-raff with AAA discounts are condemned. There is no parking there, except for around 10 spots near the main entrance which were constantly full. So, you have to double park, drop off the luggage, then drive back to the posh hotel to park. Then you repeat the process when you leave. The &quot;annex&quot; is barren, except for the Denny's, which was crowded (not sure why with so much great food around). The rooms were adequate and clean. We only got 3 bath towels for the 4 of us, and it took over an hour on two consecutive nights to get a 4th. Our view was of the tourists in the next wing of the annex. We would stay again only for the location, but try to get a room in the main building. Maybe things are nicer there. ANSWERNOTFOUND",Parking was $35 per night,"(164, 189)",2,0.0,False
usa_san francisco_marriott_san_francisco_fisherman_s_wharf,tripadvisor,near,wharf,close to,wharf,692450f1d5b228bac87bfc48d885b725,007f8dfc8647a84cac2cca32ba217baf,How close is the wharf?,1,0.0,False,tripadvisor_review_12080,"Used some of my Marriott &quot;points&quot; to stay here for a couple of nights ove rthe fourth of July. It's a great location near the Wharf. A great buffet breakfast is included in their package, making this a reasonably inexpensive stay. My only complaint is what I thought was an anomallymy last stay seems to be the &quot;norm&quot; and that is the Non-Smoking rooms smell of smoke. I had two rooms this time and one was insufferable. The other was marginal after leaving the window and door open. Last time I stayed here, I had the same problem......very convenient to The Wharf though. ANSWERNOTFOUND",ANSWERNOTFOUND,"(593, 607)",1,0.0,False
usa_san francisco_hotel_nikko_san_francisco,tripadvisor,nice,view of city,nice,view,3cda57d79eac45a394f712e90d3c2430,2250be531be3c02c29c19e5565e67519,What do you think about the view ?,1,0.0,False,tripadvisor_review_6957,"We stayed here in October while attending the Hardly, Strictly, Bluegrass festival in Golden Gate Park. We were given a room on the 21st floor that had a large picture window facing east with nice views of the city and the Bay Bridge beyond. It was fleet week, and they had a large fireworks show over the bay that we could see from our window.As others have said, the rooms are somewhat small (but that is the norm for most hotels in the city) but they are well appointed. The bathroom was adequate but nothing special but there was good pressure and plenty of hot water in the shower.The rooms have plasma tvs and a Sony CD component system. However, there was no high def available and so all you could get from their satellite feed was the standard broadcast &quot;stretched&quot; to fill the Plasma screen. For most this would not be an issue because you don't stay at the Nikko to watch TV but our visit coincided with the Baseball Playoffs and I wanted to catch some of the games. It would have been great to have seen them in high def.Also, the stereo system is very nice but there is just a cheap speaker box above the Sony components which did not sound very good. There should be a speaker system built into the walls or ceiling to get the most out of the music.We didn't use the swimming pool or fitness center because they charged too much. That should be included at the room rates they charge. We also didn't eat in their restaurant but did have room service one night and found the quality and service excellent and not really overpriced at all.As others have commented, it's not necessary to pay extra for the buffet breakfast because there is a Starbucks downstairs and across the street is a fairly decent and reasonable coffee shop that serves breakfast.All in all, we enjoyed our stay at the Nikko. It was convenient to the buses we needed to take out to GG Park and we were also able to spend several hours over at the new mall that has Bloomingdales and Nordstroms. In the basement there is an excellent market that has many hot food offerings that are reasonably priced and looked very good. There are also several inexpesive restaurants to choose from. We ate here one night since I had a cold and had no taste buds so I didn't want to waste my money at the fine restaurants nearby.The Nikko is in a great location right near Union Square and close to the best shopping and also the theater district. The surrounding neighborhood can be a litte seedy if you walk down the wrong streets but overall this area is far improved from what I remember it being in the '70s when I lived in San Francisco. They didn't call it the Tenderloin because there were good steak restaurants nearby. However, from our room, we could look down at Tad's Steak House which, as a starving student in the '60s, was one of the few restaurants I could afford. Next time, we will go check it out. ANSWERNOTFOUND",ANSWERNOTFOUND,"(2896, 2910)",1,0.0,False
usa_san francisco_galleria_park,tripadvisor,old,hotel,dirty,hotel,03ccbec1bc1c143ff0a6843fdd32cefc,5754cb5a62cdf200bc877a7dd34c2ed1,What do you think about the hotel?,2,0.0,False,tripadvisor_review_8171,"My wife and I are both professionals. We are young (41&amp;34) with no kids yet and like to travel well. Galleria Park was chosen after researching the onlines (ExOrbHot.com, etc.) and was booked directly through the property's website. Hope this helps you.As this was our first vacation to SanFran and Napa Valley, we felt best being stationed in the Union Square area. Galleria Park (GP) was chosen because of its boutique style - which is to say that it wasn't &quot;just another chain&quot; hotel but something nice enough and unique to the city we were visiting. We took the BART in from SFO (easy and safe if you don't have more than one bag or so each) and walked to the hotel no problem. GP is in a safe area entirely - that issue should now be completely settled for all of you. Checkin was prompt and efficient. We actually arrived at noon and fully anticipated our room would not be ready yet and intinded to just check our bags till later. It was at this point that a very important factor of a good stay began. The attendant Jacob (?) was most accomodating in every way with an unusual ability to do so without making me feel crowded or rushed or uncomfortable that he's just bucking for a tip. It's a little difficult to explain, but in hindsight I believe it's because their customer service for us kept being incredibly helpful throughout our stay. And that's a thing about GP that needs your consideration.We were informed at noon that our room was not yet ready but that we had been upgraded to a larger room. Why? I don't know, but wonder personally if it is because I kept my reservation during a time when the online's (for a period of about one week) dramatically cut the rates per night by $50-75. We noticed this for other hotels we were considering too. With the jitters in the economy for some, I wonder if the hotels needed to fill up. It didn't seem crowded in SanFran/Napa at all. (March 29-April 4) Our room was very much like the website shows. See my pictures for our room (715). The room is clean and daily maid service did well. The bathroom is small with no counter space at all. The shower pressure was awesome and the temp good. Why don't hotels install fans in the bathrooms? Linen is good. Floors are good. The hotel is old, but it's been redone. It is fine. Our king bed was good, but not great. The pillows were the same. It really was fine, but not exceptional. This is where it differs from Campton Place or The Ritz. It's a hotel room that has been as well done over as could be in an old facility. We don't camp out in the room when we are on vacation, so really, don't you just need a good room in a nice place that is above average? GP is a good choice for that. We did feel comfortable and safe here. The staff does make a difference when you're away from home in unfamiliar territory. Studying and planning make the difference. Chinatown is close, the cable cars are close, cabs are available without much ado, etc., etc. I'll be writing an overall review of our visit in SanFran. I will say that Mr. Toad's tours are THE one you want. They dropped us off right at the GP saving us another ride from the wharf. The bottom line is this: If you can get a good deal, it is a good deal. I would stay here again if I could be sure to get this larger type room. Reading other recent reviews makes me believe that the hotel's smaller rooms would have compromised my impression quite a bit as we have been in such smaller type of rooms at other hotels in the past and they are not good. No, no, no. We require a certain level of luxury when we travel and our room at the GP met that level no problem. ANSWERNOTFOUND",I wonder if the hotels needed to fill up,"(1821, 1861)",2,0.0,False
usa_san francisco_grand_hyatt_san_francisco,tripadvisor,excellent,view,fabulous,view,ec58043ce08c00f05e8ac2bbf1ed23e4,d3b682071e5a2b04ed290535fcb2deaa,How do you like the view?,1,0.0,False,tripadvisor_review_12146,"The Grand Hyatt in San Francisco is close to everything. It's right by Union Square and near the main bus routes and basically right on top of the cable car routes.  After driving into San Francisco, my husband and I both swore off driving in the city until we had to drive to leave. Its streets are chaotic! Thankfully, with the location of the hotel, we didn't have to worry. We were able to go sight seeing and see everything we wanted because of the location of the hotel near public transportation. Thanks the both the concierges who were able to give detailed bus/trolley/cable car routes to us. They were so helpful! Check in and check out was a breeze. The lobby is beautiful. Our rooms were smallish, but that's definitely what I expected in a high rise hotel in central San Francisco! We had excellent views from our room and from the lounge a few floor above us. Smashing. ANSWERNOTFOUND",We had excellent views,"(795, 817)",1,1.0,True
usa_san francisco_hotel_drisco,tripadvisor,excellent,staff,top notch,staff,936503dbfdf993df8b40541a1fd2c7de,a6e12d7be76442d2ef91ea65c259f676,How does the staff behave?,1,0.0,False,tripadvisor_review_189,"My expectations were high, but the Drisco met and exceeded them, which is a rare occurrence for me in my world travels. From the moment we walked in it felt like a private club, a home away from home. We had a corner suite with views from the tip of the Golden Gate Bridge all the way to the Bay Bridge. Extraordinary. The staff was excellent, courteous and very professional. Breakfast was terrific and afternoon wine service enabled us to meet some of the interesting guests. A home run! ANSWERNOTFOUND","The staff was excellent, courteous and very professional","(319, 375)",1,0.71,True
usa_san francisco_the_inn_at_union_square,tripadvisor,nice,continental breakfast,good,breakfast buffet,3005cea90538f9d117e9bc689888631c,65783e8aae5736b066b268c7c7e9f46a,How is the breakfast buffet?,5,0.0,False,tripadvisor_review_649,"Just stayed at the Inn at U.S. Oct 10th thru 13th. The hotel was clean, nice, and in a great location, just steps from Union Square. The continental breakfast was nice, as was the evening snacks. The room was clean, and a good size. The only thing is that the bathroom could use a little updating. the shower has great water-pressure, though...a plus! Parking is a nightmare in San Francisco, and we were charged $35 a night for parking!!! Other than that, it was a great hotel and we will stay there again in the future. ANSWERNOTFOUND",The continental breakfast was nice,"(133, 167)",5,1.0,True
usa_san francisco_executive_hotel_vintage_court,tripadvisor,old,building,old,hotel,b77dfc128b8645b54febf6833e6ac7fd,377b48aad264965605c8497c14793c51,What is the quality of the hotel?,1,0.0,False,tripadvisor_review_12573,"We just returned from a 4 night stay at this comfortable, cozy boutique hotel. We experienced NONE of the problems that other guests have posted in their reviews. The hotel decor was not 'tired'--it fit perfectly with the age of the building and the architecture. The staff was very helpful and friendly. One of the hosts at the desk even re-charged my ipod for me, using his own charger! It was easy to upgrade over the phone to a king bed and bigger room than the one we got using hotwire. As is common in older hotels in older cities, the bathrooms can be smaller because the buildings are old--but this is not a problem for us. If one wants a room with modern, generic decor, and a large bath, then by all means, go to a big newer chain hotel with no character.Our room was very clean as was the rest of the hotel.I would, however. suggest that two larger sized bathrobes be provided, The one that was provided was very tiny and thin. I would definitely recommend this hotel to friends. We wouldn't hesitate to stay there again! ANSWERNOTFOUND",at this comfortable,"(37, 56)",1,0.8,True
usa_san francisco_hotel_nikko_san_francisco,tripadvisor,spectacular,view,nice,view,f0dff7fccad3a62a97762c898183c88b,2250be531be3c02c29c19e5565e67519,What do you think about the view ?,2,0.0,False,tripadvisor_review_6993,"My boyfriend and I stayed at the Nikko July 4 - July 8. The price on Expedia was a better deal than what the hotel's website was directly offering so I called Nikko and they matched it. Upon arriving we checked in and were immediately helped by the very friendly staff. No lines and it took only a few minutes.Our room was 1523 and yes the room was kind of small but we were never in the room so it didn't matter. The bed was VERY comfortable and the flat screen tv was an added bonus. We didn't have a spectacular view but a hotel room isn't the reason we decided to come to San Fran. The bathroom is on the old side but served it's purpose fine. The only issue we ever had is that they didn't clean our room one day. We even called twice during the day and asked them to come clean it and when we arrived back to our room at 11pm it still hadn't been cleaned. But other than that, no problems.The location is absolutely perfect. Very easy to get to the cable cars and shopping. Taxis are always lined up on the street between the Nikko and the Hilton. We had drinks at Farleys across from Starbucks and First Crush which is on OFarrell and Cyril. Very dark and romantic and very nice service. We sat at the bar and saw a couple get engaged behind us. We never made it to Anzu although we heard it was great. Starbucks every morning and there is always a line but it goes very fast. Check out was very easy b/c we had no problem with our bill and could just check out through the tv. Overall, great stay! ANSWERNOTFOUND",We didn't have a spectacular view but a hotel room isn't the reason we decided to come to San Fran,"(486, 584)",2,0.9,True
usa_san francisco_the_westin_st_francis,tripadvisor,modern,decor,update,decor,de539a1ed7014d8f311b6f374310de3f,4ea9c5ef51a7dc8d8743fd6730116656,How was the decor?,2,0.0,False,tripadvisor_review_13817,"We enjoyed our four-night stay here in late July. We had a &quot;Grand View&quot; room on the 25th floor in the tower, with a great view stretching from the Golden Gate Bridge on one side (when visible) to Coit Tower and some of the bay. The room was spacious for a city hotel, and nicely done, with a large, attractive bath. (This is clearly a hotel where booking a better room category makes a big difference in your experience.) Views from the Tower elevators were equally impressive, although in a different direction, and made each elevator ride a real treat. The lobby of the tower building was very elegant and attractive, while the lobby of the main hotel maintained a nice mix of the historic architecture and modern decor.  We took advantage of the mid-week special dinner menu for St. Francis guests at Michael Mina, which was wonderful, and a fraction of the cost of the more extensive normal menu. The breakfast buffet at the Oak Room was very good, with lots of fresh fruit and excellent pastries (great chocolate croissants and banana nut muffins) as well as the usual hot items. (Although not listed on the menu, the cold buffet is available for less than the full buffet.) Some mornings we just picked up good pastries and coffee from the small bar in the lobby of the tower building, with plenty of spacious seating.  The spa is convenient, and I was able to make bookings on less than a day's notice. The services and locker room/facilities were fine, but this is clearly a convenience offering, not a &quot;destination spa.&quot;  While this is a huge, busy hotel (often with lines for the concierge), our floor and rooms were very peaceful and quiet, and the hotel has both history and personality. Go speak to the delightful gentleman who runs a shoe-shining service near the Oak Room - he will surely put a smile on your face, and may even sing you a song! ANSWERNOTFOUND",nice mix of the historic architecture and modern decor,"(677, 731)",2,0.43333333333333335,False
